time,Year,SiteName,n,nCheck,modMedian,modMean,modci90lo,modci90up,rawMean
1,2017,Rapid Bay Jetty,4000,4000,989.3896301295633,1195.43290130019,364.7607112939685,2682.0516012569224,6.8980892572074755
1,2017,Rapid Head East,4000,4000,478.86796640527325,591.4610539261395,176.86250931049588,1351.5552374016627,6.189376852964359
1,2017,Rapid Head Windmill,4000,4000,528.1341617731333,649.1739767124598,187.21663032044535,1511.2216120838434,6.269757030264652
1,2017,Ripple Rock,4000,4000,737.3158844697398,907.4663123983348,269.9000549320259,2078.0777616689275,6.615778699031447
1,2017,Seacliff Reef,4000,4000,513.021573036096,620.9023101628113,179.76120085349612,1400.7859778192553,6.23012038329575
1,2017,Semaphore Reef,4000,4000,221.72535609275053,274.0898391939165,75.01011545486408,647.4530877925729,5.400144325824674
1,2017,Shag Rock Carrickalinga,4000,4000,1283.0676694725116,1546.8530658951736,452.02018166847097,3499.1371744923654,7.152938122637662
1,2017,South Shores,4000,4000,473.44975171863655,587.455180520679,156.7365766663159,1382.372430045943,6.158822314496974
1,2017,Southport,4000,4000,342.1552061178831,425.09541017139645,121.88456392781893,1028.9496925542885,5.844562272667289
1,2017,The Bluff,4000,4000,513.710682564272,624.89223350717225,184.92041761941664,1452.0587563763236,6.23902636670762
1,2017,West Island Outer,4000,4000,684.9705632389796,834.6495049479416,239.37107747136082,1943.5851005394454,6.528188443361482
1,2017,Whalebone,4000,4000,1108.6673506229517,1330.1476937885561,405.4120757799814,3088.3184497537327,7.003720212586367
1,2017,Yankalilla Mouth,4000,4000,222.21325983291604,303.33222896294023,59.724996207002604,817.846501071676,5.401903946509115
2,2018,Aldinga Pinnacles,4000,4000,983.861474266665,1213.5547000028132,345.57082061090534,2885.0641921709216,6.894341748093538
2,2018,Backstairs Deep,4000,4000,697.07123236116945,881.9471279076469,236.70885354037173,2110.0247807128117,6.5602533769522955
2,2018,Basham's Beach,4000,4000,3774.615025516672,5329.720607741643,950.2587481401904,15046.016693371961,8.238783320270226
2,2018,Broken Bottom,4000,4000,383.2965051116006,468.8843874467686,129.17449541356626,1086.8618411353943,5.942353636171988
2,2018,Cape Jervis South,4000,4000,572.321303609182,719.62019167531,189.26719750544677,1714.4149171745487,6.351403820614977
2,2018,Carrickalinga Head,4000,4000,570.1227098678295,702.5875316612521,198.34379347805043,1683.132892885442,6.346297128907046
2,2018,Carrickalinga North3,4000,4000,368.96816237460376,459.69469448519845,132.48307040719058,1097.6443609193793,5.9198271584050355
2,2018,Carrickalinga South Bay,4000,4000,876.6866868332988,1073.18021273745,321.15305469563583,2426.7393616529025,6.777510473951463
2,2018,Chiton Rocks,4000,4000,272.0572602266383,332.60280171376303,93.47668913348015,783.0872894638914,5.598807840575639
2,2018,Deep Creek,4000,4000,872.2705542535464,1078.8224451936044,282.1416050350914,2528.577199561828,6.764002501854939
2,2018,Dodd's Beach,4000,4000,336.8711771769848,414.7888482824538,123.81042914285031,969.4581926422114,5.829182332171997
2,2018,Encounter Deep,4000,4000,374.5126190502712,456.7349597034012,123.15867907342867,1061.573487986702,5.914978241516654
2,2018,Fishery Beach,4000,4000,412.307418306229,510.45914401364075,151.53831545646997,1205.9826492323705,6.033189999651941
