time,Year,SiteName,n,nCheck,modMedian,modMean,modci90lo,modci90up,text
1,2017,Deep Creek,4000,4000,729.309989219276,1018.0407866965655,99.65449415484802,2892.0494236750637,729.3 (99.7 to 2892)
1,2017,Dodd's Beach,4000,4000,452.33875094726534,624.3560583408573,61.16624060141675,1771.756775622192,452.3 (61.2 to 1771.8)
1,2017,Encounter Deep,4000,4000,905.5633612629206,1350.6927071971165,118.0262499602764,4076.963310489144,905.6 (118 to 4077)
1,2017,Fishery Beach,4000,4000,593.9404146357924,848.8015987471923,85.83771400308771,2475.736294227979,593.9 (85.8 to 2475.7)
1,2017,Flat Irons,4000,4000,689.0308099503393,936.1525787995827,85.64373751483383,2670.5591885285517,689 (85.6 to 2670.6)
1,2017,Horseshoe Inside,4000,4000,498.6413096939957,678.5902148454853,65.95869657665084,1935.9427954332077,498.6 (66 to 1935.9)
1,2017,Lady Bay,4000,4000,198.78166648617855,275.30260991538853,25.737501786012427,769.7993068082948,198.8 (25.7 to 769.8)
1,2017,Moana Outside,4000,4000,650.1939943142419,907.6502265481547,88.13458393139787,2625.924694617919,650.2 (88.1 to 2625.9)
1,2017,Myponga Reef,4000,4000,297.05799281198483,409.44505389121747,39.67795098906619,1145.824387152133,297.1 (39.7 to 1145.8)
1,2017,Newland Head,4000,4000,834.6321563805782,1146.8769429745357,109.22504810903085,3167.420587887179,834.6 (109.2 to 3167.4)
1,2017,Noarlunga North Outside,4000,4000,847.5350885984477,1165.376041549573,119.60699185641288,3248.565176904739,847.5 (119.6 to 3248.6)
1,2017,Noarlunga South Outside,4000,4000,763.1934378305373,1053.4358353909479,101.22252500957141,2999.8932408143087,763.2 (101.2 to 2999.9)
1,2017,Normanville Beach,4000,4000,179.4727225649151,262.34513726408056,23.681982228766984,765.5125594852877,179.5 (23.7 to 765.5)
1,2017,Olivers Reef,4000,4000,473.74940766429984,652.9849237946105,62.00059678841892,1887.032467406349,473.7 (62 to 1887)
1,2017,Outside Granite Island,4000,4000,520.5563523338121,714.5187436553324,72.73916224702373,2006.2526631114524,520.6 (72.7 to 2006.3)
1,2017,Parham Reef,4000,4000,86.29794474047361,122.63075093429013,10.385006772042843,353.59597469120223,86.3 (10.4 to 353.6)
1,2017,Porpoise Head,4000,4000,1236.4816509624302,1720.463615246092,177.97173473351228,4840.242450848604,1236.5 (178 to 4840.2)
1,2017,Port Gawler,4000,4000,537.5985180799728,1040.269977832815,53.47601638723897,3579.914130167609,537.6 (53.5 to 3579.9)
1,2017,Rapid Bay Jetty,4000,4000,751.3182163388947,1027.3977715728827,93.81878981597092,2897.9507683174975,751.3 (93.8 to 2898)
1,2017,Rapid Head East,4000,4000,433.6793077041839,590.4765720809863,57.34429660361127,1667.272530826048,433.7 (57.3 to 1667.3)
1,2017,Rapid Head Windmill,4000,4000,498.2905019901093,680.8189441889236,64.23841718379455,1964.309736071305,498.3 (64.2 to 1964.3)
1,2017,Ripple Rock,4000,4000,784.4004052840232,1094.6042639042637,110.07307212720576,3152.1941587442006,784.4 (110.1 to 3152.2)
1,2017,Seacliff Reef,4000,4000,1446.8421525657131,2332.4707976594173,176.5069873293461,7524.245125539078,1446.8 (176.5 to 7524.2)
1,2017,Semaphore Reef,4000,4000,121.06325557568238,213.19842365107718,15.010101442121526,706.2610511141241,121.1 (15 to 706.3)
1,2017,Shag Rock Carrickalinga,4000,4000,1313.6027028409037,1884.4609248432298,170.84740119876187,5436.906161149053,1313.6 (170.8 to 5436.9)
1,2017,South Shores,4000,4000,113.78407315298504,188.0169613212656,13.60532867238474,589.8992978326158,113.8 (13.6 to 589.9)
1,2017,Southport,4000,4000,418.12414695598204,578.6563396953869,52.74716868599036,1609.6301939707337,418.1 (52.7 to 1609.6)
1,2017,The Bluff,4000,4000,345.9202877977757,479.9764260135789,45.42273308627696,1365.5612609758543,345.9 (45.4 to 1365.6)
1,2017,West Island Outer,4000,4000,747.2982373114027,1008.9676119720765,101.1228040205759,2840.9597364206784,747.3 (101.1 to 2841)
