OpCode,MonType,Bottom Temp,TimeIn,BruvType,UNIQUE_ID
CSEI03_1511,Core,17.5,1/01/1900 9:44:59 AM,Stereo,55
CSEI04_1511,Core,17.5,1/01/1900 9:48:42 AM,Stereo,55
PINI01_1604,Core,17.2,9:33:15 AM,Stereo,74
PINI02_1604,Core,17.2,9:40:08 AM,Stereo,74
PINI03_1604,Core,17.2,9:48:55 AM,Stereo,74
PINI04_1604,Core,17.2,9:55:30 AM,Stereo,74
PIEI01_1604,Core,17.2,11:30:58 AM,Stereo,74
PIEI02_1604,Core,17.2,11:37:47 AM,Stereo,74
PIEI03_1604,Core,17.2,11:47:56 AM,Stereo,74
PIEI04_1604,Core,17.3,11:53:57 AM,Stereo,74
PIWI01_1604,Core,17.4,1:23:32 PM,Stereo,74
PIWI02_1604,Core,17.2,1:29:10 PM,Stereo,74
PIWI03_1604,Core,17.2,1:33:22 PM,Stereo,74
PIWI04_1604,Core,17.2,1:38:35 PM,Stereo,74
PINO01_1604,Core,17.2,1/01/1900 9:23:17 AM,Stereo,153
PINO02_1604,Core,17.2,9:30:04 AM,Stereo,153
PINO03_1604,Core,17.2,9:36:42 AM,Stereo,153
PINO04_1604,Core,17.2,9:41:31 AM,Stereo,153
PIWO01_1604,Core,17.2,11:28:18 AM,Stereo,153
PIWO02_1604,Core,17.2,11:32:49 AM,Stereo,153
PIWO03_1604,Core,17.2,11:37:28 AM,Stereo,153
PIWO04_1604,Core,17.2,11:41:07 AM,Stereo,153
PIEO01_1604,Core,17.3,1:21:19 PM,Stereo,153
PIEO02_1604,Core,17.3,1:25:42 PM,Stereo,153
PIEO03_1604,Core,17.2,1:31:40 PM,Stereo,153
PIEO04_1604,Core,17.3,1:36:25 PM,Stereo,153
SGCI01_1601,Core,19.2,11:38:43 AM,Stereo,73
SGCI03_1601,Core,19.1,11:22:23 AM,Stereo,73
SGCI04_1601,Core,19.1,11:14:46 AM,Stereo,73
SGCO01_1601,Core,19.6,11:28:37 AM,Stereo,201
