OBJECTID,MPNAME,RESTYPE,RES_NUM,ZONE_TYPE,ZONE_CODE,MPZoneID,ZONE_TYPCODE,ZONE_TIME,ZONE_NAME,SHAPEAREA,SHAPELEN
189,Upper Gulf St Vincent,MP,14,SZ,1,60,SZ-1,All Year,Clinton Wetlands,59364928.332008,36578.553783473806
196,Upper Gulf St Vincent,MP,14,RAZ_D,1,96,RAZ-1,All Year,NA,87029284.1466205,45007.4292845337
197,Encounter,MP,15,SZ,3,66,SZ-3,All Year,Aldinga Reef,22375622.507174,20520.07163292
198,Encounter,MP,15,RAZ_L,1,97,RAZ-1,All Year,NA,169821.224953,1871.13058236856
199,Nuyts Archipelago,MP,2,SZ,6,9,SZ-6,All Year,Point Peter,2595464.853577,8050.7681742350505
200,West Coast Bays,MP,3,SZ,5,17,SZ-5,All Year,Head of Baird Bay,2199147.68498,6420.71766346649
201,West Coast Bays,MP,3,SZ,6,18,SZ-6,All Year,East Tidal Flats,8529115.5924325,16724.395235679498
202,Thorny Passage,MP,5,SZ,6,30,SZ-6,All Year,Horse Peninsula,191965.317177,1784.6806896119
203,Neptune Islands Group,MP,7,RAZ_L,1,89,RAZ-1,All Year,NA,182846.3272895,2093.89467400456
204,Franklin Harbor,MP,9,SZ,1,39,SZ-1,All Year,Picnic Creek,1690053.1030565,5363.289380191471
205,Franklin Harbor,MP,9,SZ,3,41,SZ-3,All Year,Port Gibbon,16129379.02531,17993.2992047379
206,Franklin Harbor,MP,9,SZ,4,42,SZ-4,All Year,Offshore Franklin Harbor,43868649.8165155,28377.2250713738
190,Lower South East,MP,19,SZ,1,82,SZ-1,All Year,Canunda,24025284.6964095,20471.625932
191,Western Kangaroo Island,MP,16,SZ,1,75,SZ-1,All Year,Cape Borda,81590260.887841,40802.156548622705
192,Encounter,MP,15,SZ,4,67,SZ-4,All Year,Carrickalinga Cliffs,8382378.2276675,13991.699294145601
193,Eastern Spencer Gulf,MP,11,SZ,2,53,SZ-2,All Year,Port Victoria,7296659.755461,14006.9455821029
194,Lower Yorke Peninsula,MP,13,SZ,1,58,SZ-1,All Year,Point Davenport,71483642.0783205,41587.5617644494
195,Lower Yorke Peninsula,MP,13,SZ,2,59,SZ-2,All Year,Salt Swamp Creek,738669.856833,6464.907104312901
159,Southern Spencer Gulf,MP,12,GMUZ,2,192,GMUZ-2,All Year,NA,690862204.141696,130923.112319835
160,Southern Spencer Gulf,MP,12,HPZ,1,143,HPZ-1,All Year,NA,213609049.250327,67758.0109912845
161,Southern Spencer Gulf,MP,12,HPZ,3,145,HPZ-3,All Year,NA,399788349.301389,111072.462238477
