sr,GSiteID,SurveyID,TransectID,LocalBlock,SurveyDate,SiteName,Subregion,Sanctuary,tax,time
6,12,69,265,1,2005-03-12T00:00:00Z,West Island Outer,6,Outside,Invert,-368755200
6,12,69,266,1,2005-03-12T00:00:00Z,West Island Outer,6,Outside,Fish,-368755200
6,12,69,266,1,2005-03-12T00:00:00Z,West Island Outer,6,Outside,Invert,-368755200
11,12,69,267,1,2005-03-12T00:00:00Z,West Island Outer,6,Outside,Fish,-368755200
9,12,69,267,1,2005-03-12T00:00:00Z,West Island Outer,6,Outside,Invert,-368755200
5,12,70,268,1,2007-11-14T00:00:00Z,West Island Outer,6,Outside,Fish,-284342400
4,12,70,268,1,2007-11-14T00:00:00Z,West Island Outer,6,Outside,Invert,-284342400
8,12,70,269,1,2007-11-14T00:00:00Z,West Island Outer,6,Outside,Fish,-284342400
6,12,70,269,1,2007-11-14T00:00:00Z,West Island Outer,6,Outside,Invert,-284342400
5,12,70,270,1,2007-11-14T00:00:00Z,West Island Outer,6,Outside,Fish,-284342400
3,12,70,270,1,2007-11-14T00:00:00Z,West Island Outer,6,Outside,Invert,-284342400
1,12,70,271,1,2007-11-14T00:00:00Z,West Island Outer,6,Outside,Fish,-284342400
6,12,70,271,1,2007-11-14T00:00:00Z,West Island Outer,6,Outside,Invert,-284342400
8,12,71,272,1,2017-05-09T00:00:00Z,West Island Outer,6,Outside,Fish,14947200
5,12,71,272,1,2017-05-09T00:00:00Z,West Island Outer,6,Outside,Invert,14947200
6,12,71,273,1,2017-05-09T00:00:00Z,West Island Outer,6,Outside,Fish,14947200
7,12,71,273,1,2017-05-09T00:00:00Z,West Island Outer,6,Outside,Invert,14947200
6,12,71,274,1,2017-05-09T00:00:00Z,West Island Outer,6,Outside,Fish,14947200
8,12,71,274,1,2017-05-09T00:00:00Z,West Island Outer,6,Outside,Invert,14947200
12,12,71,275,1,2017-05-09T00:00:00Z,West Island Outer,6,Outside,Fish,14947200
9,12,71,275,1,2017-05-09T00:00:00Z,West Island Outer,6,Outside,Invert,14947200
12,12,72,276,1,2018-02-08T00:00:00Z,West Island Outer,6,Outside,Fish,38707200
9,12,72,276,1,2018-02-08T00:00:00Z,West Island Outer,6,Outside,Invert,38707200
9,12,72,277,1,2018-02-08T00:00:00Z,West Island Outer,6,Outside,Fish,38707200
1,12,72,277,1,2018-02-08T00:00:00Z,West Island Outer,6,Outside,Invert,38707200
7,12,72,278,1,2018-02-08T00:00:00Z,West Island Outer,6,Outside,Fish,38707200
11,12,72,278,1,2018-02-08T00:00:00Z,West Island Outer,6,Outside,Invert,38707200
11,12,72,279,1,2018-02-08T00:00:00Z,West Island Outer,6,Outside,Fish,38707200
5,12,72,279,1,2018-02-08T00:00:00Z,West Island Outer,6,Outside,Invert,38707200
11,14,75,288,1,2005-03-13T00:00:00Z,Newland Head,6,Outside,Fish,-368668800
12,14,75,288,1,2005-03-13T00:00:00Z,Newland Head,6,Outside,Invert,-368668800
8,14,75,289,1,2005-03-13T00:00:00Z,Newland Head,6,Outside,Fish,-368668800
12,14,75,289,1,2005-03-13T00:00:00Z,Newland Head,6,Outside,Invert,-368668800
13,14,75,290,1,2005-03-13T00:00:00Z,Newland Head,6,Outside,Fish,-368668800
5,14,75,290,1,2005-03-13T00:00:00Z,Newland Head,6,Outside,Invert,-368668800
9,14,75,291,1,2005-03-13T00:00:00Z,Newland Head,6,Outside,Fish,-368668800
6,14,75,291,1,2005-03-13T00:00:00Z,Newland Head,6,Outside,Invert,-368668800
1,14,76,292,1,2007-11-09T00:00:00Z,Newland Head,6,Outside,Fish,-284774400
7,14,76,292,1,2007-11-09T00:00:00Z,Newland Head,6,Outside,Invert,-284774400
8,14,76,293,1,2007-11-09T00:00:00Z,Newland Head,6,Outside,Invert,-284774400
1,14,76,294,1,2007-11-09T00:00:00Z,Newland Head,6,Outside,Fish,-284774400
10,14,76,294,1,2007-11-09T00:00:00Z,Newland Head,6,Outside,Invert,-284774400
3,14,76,295,1,2007-11-09T00:00:00Z,Newland Head,6,Outside,Fish,-284774400
13,14,76,295,1,2007-11-09T00:00:00Z,Newland Head,6,Outside,Invert,-284774400
11,14,77,296,1,2017-05-10T00:00:00Z,Newland Head,6,Outside,Fish,15033600
9,14,77,296,1,2017-05-10T00:00:00Z,Newland Head,6,Outside,Invert,15033600
8,14,77,297,1,2017-05-10T00:00:00Z,Newland Head,6,Outside,Fish,15033600
10,14,77,297,1,2017-05-10T00:00:00Z,Newland Head,6,Outside,Invert,15033600
11,14,77,298,1,2017-05-10T00:00:00Z,Newland Head,6,Outside,Fish,15033600
11,14,77,298,1,2017-05-10T00:00:00Z,Newland Head,6,Outside,Invert,15033600
