CAABcode,Family,Genus,Species,Species2,COMMON NAME
37365066,Chaetodontidae,Chelmonops,curiosus,Chelmonops curiosus,Western Talma
37366001,Enoplosidae,Enoplosus,armatus,Enoplosus armatus,Old Wife
37367003,Pentacerotidae,Pentaceropsis,recurvirostris,Pentaceropsis recurvirostris,Longsnout Boarfish
37372006,Pomacentridae,Parma,victoriae,Parma victoriae,Scalyfin
37375002,Chironemidae,Chironemus,maculosus,Chironemus maculosus,Silver Spot
37376001,Aplodactylidae,Aplodactylus,arctidens,Aplodactylus arctidens,Marblefish
37377001,Cheilodactylidae,Cheilodactylus,nigripes,Cheilodactylus nigripes,Magpie Perch
37377004,Cheilodactylidae,Nemadactylus,valenciennesi,Nemadactylus valenciennesi,Queen Fish
37377005,Cheilodactylidae,Dactylophora,nigricans,Dactylophora nigricans,Dusky Morwong
37382002,Sphyraenidae,Sphyraena,novaehollandiae,Sphyraena novaehollandiae,Snook
37382005,Sphyraenidae,Sphyraena,forsteri,Sphyraena forsteri,Blackspot Barracuda
37384e3,Labridae,LABRIDAE,sp,LABRIDAE sp,Wrasse
37384002,Labridae,Achoerodus,gouldii,Achoerodus gouldii,Western Blue Groper
37384003,Labridae,Notolabrus,tetricus,Notolabrus tetricus,Bluethroat Wrasse
37384018,Labridae,Dotalabrus,aurantiacus,Dotalabrus aurantiacus,Castelnau's Wrasse
37384020,Labridae,Pictilabrus,laticlavius,Pictilabrus laticlavius,Senator Wrasse
37384022,Labridae,Notolabrus,parilus,Notolabrus parilus,Brownspotted Wrasse
37384023,Labridae,Pseudolabrus,rubicundus,Pseudolabrus rubicundus,Rosy Wrasse
37384025,Labridae,Austrolabrus,maculatus,Austrolabrus maculatus,Blackspotted Wrasse
37384040,Labridae,Ophthalmolepis,lineolatus,Ophthalmolepis lineolatus,Southern Maori Wrasse
37384057,Labridae,Bodianus,frenchii,Bodianus frenchii,Foxfish
37384105,Labridae,Eupetrichthys,angustipes,Eupetrichthys angustipes,Snakeskin Wrasse
37385001,Odacidae,Olisthops,cyanomelas,Olisthops cyanomelas,Herring Cale
37385004,Odacidae,Siphonognathus,attenuatus,Siphonognathus attenuatus,Slender Weed Whiting
37385005,Odacidae,Neoodax,balteatus,Neoodax balteatus,Little Weed Whiting
