OpCode,SZname,SZFullname,SiteName,InOutSZ,YearMonth,FieldSeason,MPZoneID,MPNAME,RES_NUM
ISFI04_1503,IS,Isles of St Francis,ISF,I,1503,2014_15,11,Nuyts Archipelago,2
ISRO01_1503,IS,Isles of St Francis,ISR,O,1503,2014_15,11,Nuyts Archipelago,2
ISRO02_1503,IS,Isles of St Francis,ISR,O,1503,2014_15,11,Nuyts Archipelago,2
ISRO03_1503,IS,Isles of St Francis,ISR,O,1503,2014_15,11,Nuyts Archipelago,2
ISRO04_1503,IS,Isles of St Francis,ISR,O,1503,2014_15,11,Nuyts Archipelago,2
ISFO01_1503,IS,Isles of St Francis,ISF,O,1503,2014_15,11,Nuyts Archipelago,2
ISFO02_1503,IS,Isles of St Francis,ISF,O,1503,2014_15,11,Nuyts Archipelago,2
ISLO01_1503,IS,Isles of St Francis,ISL,O,1503,2014_15,11,Nuyts Archipelago,2
ISLO02_1503,IS,Isles of St Francis,ISL,O,1503,2014_15,11,Nuyts Archipelago,2
ISLO03_1503,IS,Isles of St Francis,ISL,O,1503,2014_15,11,Nuyts Archipelago,2
ISMI01_1503,IS,Isles of St Francis,ISM,I,1503,2014_15,11,Nuyts Archipelago,2
ISMI02_1503,IS,Isles of St Francis,ISM,I,1503,2014_15,11,Nuyts Archipelago,2
ISMI03_1503,IS,Isles of St Francis,ISM,I,1503,2014_15,11,Nuyts Archipelago,2
ISMI04_1503,IS,Isles of St Francis,ISM,I,1503,2014_15,11,Nuyts Archipelago,2
ISPI01_1503,IS,Isles of St Francis,ISP,I,1503,2014_15,11,Nuyts Archipelago,2
ISPI02_1503,IS,Isles of St Francis,ISP,I,1503,2014_15,11,Nuyts Archipelago,2
ISPI03_1503,IS,Isles of St Francis,ISP,I,1503,2014_15,11,Nuyts Archipelago,2
ISPI04_1503,IS,Isles of St Francis,ISP,I,1503,2014_15,11,Nuyts Archipelago,2
ISSI01_1503,IS,Isles of St Francis,ISS,I,1503,2014_15,11,Nuyts Archipelago,2
ISSI02_1503,IS,Isles of St Francis,ISS,I,1503,2014_15,11,Nuyts Archipelago,2
ISSI03_1503,IS,Isles of St Francis,ISS,I,1503,2014_15,11,Nuyts Archipelago,2
ISSI04_1503,IS,Isles of St Francis,ISS,I,1503,2014_15,11,Nuyts Archipelago,2
PESI01_1503,PE,Pearson Isles,PES,I,1503,2014_15,23,Investigator,4
PESI02_1503,PE,Pearson Isles,PES,I,1503,2014_15,23,Investigator,4
PESI03_1503,PE,Pearson Isles,PES,I,1503,2014_15,23,Investigator,4
PESI04_1503,PE,Pearson Isles,PES,I,1503,2014_15,23,Investigator,4
PENI01_1503,PE,Pearson Isles,PEN,I,1503,2014_15,23,Investigator,4
PENI02_1503,PE,Pearson Isles,PEN,I,1503,2014_15,23,Investigator,4
PENI03_1503,PE,Pearson Isles,PEN,I,1503,2014_15,23,Investigator,4
PENI04_1503,PE,Pearson Isles,PEN,I,1503,2014_15,23,Investigator,4
CACI01_1512,CA,Carrickalinga Cliffs,CAC,I,1512,2015_16,67,Encounter,15
CACI02_1512,CA,Carrickalinga Cliffs,CAC,I,1512,2015_16,67,Encounter,15
CACI03_1512,CA,Carrickalinga Cliffs,CAC,I,1512,2015_16,67,Encounter,15
CACI04_1512,CA,Carrickalinga Cliffs,CAC,I,1512,2015_16,67,Encounter,15
CANI01_1512,CA,Carrickalinga Cliffs,CAN,I,1512,2015_16,67,Encounter,15
CANI02_1512,CA,Carrickalinga Cliffs,CAN,I,1512,2015_16,67,Encounter,15
CANI03_1512,CA,Carrickalinga Cliffs,CAN,I,1512,2015_16,67,Encounter,15
CANI04_1512,CA,Carrickalinga Cliffs,CAN,I,1512,2015_16,67,Encounter,15
CASI01_1512,CA,Carrickalinga Cliffs,CAS,I,1512,2015_16,67,Encounter,15
CASI02_1512,CA,Carrickalinga Cliffs,CAS,I,1512,2015_16,67,Encounter,15
CASI03_1512,CA,Carrickalinga Cliffs,CAS,I,1512,2015_16,67,Encounter,15
CANO01_1512,CA,Carrickalinga Cliffs,CAN,O,1512,2015_16,67,Encounter,15
CANO02_1512,CA,Carrickalinga Cliffs,CAN,O,1512,2015_16,67,Encounter,15
CANO03_1512,CA,Carrickalinga Cliffs,CAN,O,1512,2015_16,67,Encounter,15
CANO04_1512,CA,Carrickalinga Cliffs,CAN,O,1512,2015_16,67,Encounter,15
CASO01_1512,CA,Carrickalinga Cliffs,CAS,O,1512,2015_16,67,Encounter,15
CASO02_1512,CA,Carrickalinga Cliffs,CAS,O,1512,2015_16,67,Encounter,15
CASO03_1512,CA,Carrickalinga Cliffs,CAS,O,1512,2015_16,67,Encounter,15
CASO04_1512,CA,Carrickalinga Cliffs,CAS,O,1512,2015_16,67,Encounter,15
RHCI01_1512,RH,Rapid Head,RHC,I,1512,2015_16,68,Encounter,15
RHCI02_1512,RH,Rapid Head,RHC,I,1512,2015_16,68,Encounter,15
RHCI03_1512,RH,Rapid Head,RHC,I,1512,2015_16,68,Encounter,15
RHCI04_1512,RH,Rapid Head,RHC,I,1512,2015_16,68,Encounter,15
RHNI01_1512,RH,Rapid Head,RHN,I,1512,2015_16,68,Encounter,15
RHNI02_1512,RH,Rapid Head,RHN,I,1512,2015_16,68,Encounter,15
RHNI03_1512,RH,Rapid Head,RHN,I,1512,2015_16,68,Encounter,15
RHNI04_1512,RH,Rapid Head,RHN,I,1512,2015_16,68,Encounter,15
RHSI01_1512,RH,Rapid Head,RHS,I,1512,2015_16,68,Encounter,15
RHSI02_1512,RH,Rapid Head,RHS,I,1512,2015_16,68,Encounter,15
RHSI03_1512,RH,Rapid Head,RHS,I,1512,2015_16,68,Encounter,15
RHSI04_1512,RH,Rapid Head,RHS,I,1512,2015_16,68,Encounter,15
RHCO01_1512,RH,Rapid Head,RHC,O,1512,2015_16,68,Encounter,15
RHCO02_1512,RH,Rapid Head,RHC,O,1512,2015_16,68,Encounter,15
RHCO03_1512,RH,Rapid Head,RHC,O,1512,2015_16,68,Encounter,15
RHCO04_1512,RH,Rapid Head,RHC,O,1512,2015_16,68,Encounter,15
RHNO01_1512,RH,Rapid Head,RHN,O,1512,2015_16,68,Encounter,15
RHNO02_1512,RH,Rapid Head,RHN,O,1512,2015_16,68,Encounter,15
RHNO03_1512,RH,Rapid Head,RHN,O,1512,2015_16,68,Encounter,15
RHNO04_1512,RH,Rapid Head,RHN,O,1512,2015_16,68,Encounter,15
RHSO01_1512,RH,Rapid Head,RHS,O,1512,2015_16,68,Encounter,15
RHSO02_1512,RH,Rapid Head,RHS,O,1512,2015_16,68,Encounter,15
RHSO03_1512,RH,Rapid Head,RHS,O,1512,2015_16,68,Encounter,15
